# file name, schedulable?, #jobs, #states, #edges, max width, CPU time, memory, timeout, #CPUs, Total Sched
..\tests\temp_001.csv,  1,  19,  62,  118,  10,  0.014000,  0,  4,  2
..\tests\temp_002.csv,  1,  16,  27,  38,  3,  0.004000,  0,  4,  3
..\tests\temp_003.csv,  1,  21,  74,  135,  8,  0.017000,  0,  4,  4
..\tests\temp_004.csv,  1,  22,  69,  124,  8,  0.017000,  0,  4,  5
..\tests\temp_005.csv,  1,  31,  1081,  3828,  130,  0.541000,  0,  4,  6
..\tests\temp_006.csv,  1,  20,  65,  117,  10,  0.016000,  0,  4,  7
..\tests\temp_007.csv,  1,  12,  16,  20,  2,  0.002000,  0,  4,  8
..\tests\temp_008.csv,  1,  22,  54,  87,  6,  0.013000,  0,  4,  9
..\tests\temp_009.csv,  1,  24,  87,  151,  11,  0.025000,  0,  4,  10
..\tests\temp_010.csv,  1,  24,  95,  166,  10,  0.026000,  0,  4,  11
..\tests\temp_011.csv,  1,  27,  420,  1001,  43,  0.165000,  0,  4,  12
..\tests\temp_012.csv,  1,  16,  20,  24,  2,  0.003000,  0,  4,  13
..\tests\temp_013.csv,  1,  18,  74,  153,  10,  0.017000,  0,  4,  14
..\tests\temp_014.csv,  1,  29,  283,  652,  28,  0.107000,  0,  4,  15
..\tests\temp_015.csv,  1,  32,  539,  1626,  48,  0.260000,  0,  4,  16
..\tests\temp_016.csv,  1,  15,  25,  35,  4,  0.003000,  0,  4,  17
..\tests\temp_017.csv,  1,  21,  58,  99,  7,  0.013000,  0,  4,  18
..\tests\temp_018.csv,  1,  32,  1401,  4860,  150,  0.731000,  0,  4,  19
..\tests\temp_019.csv,  1,  21,  60,  101,  7,  0.013000,  0,  4,  20
..\tests\temp_020.csv,  1,  16,  17,  18,  2,  0.002000,  0,  4,  21
..\tests\temp_021.csv,  1,  22,  82,  152,  10,  0.021000,  0,  4,  22
..\tests\temp_022.csv,  1,  18,  23,  27,  2,  0.004000,  0,  4,  23
..\tests\temp_023.csv,  1,  31,  638,  1955,  76,  0.280000,  0,  4,  24
..\tests\temp_024.csv,  1,  27,  429,  1030,  55,  0.163000,  0,  4,  25
..\tests\temp_025.csv,  1,  17,  41,  64,  5,  0.008000,  0,  4,  26
..\tests\temp_026.csv,  1,  20,  51,  86,  6,  0.010000,  0,  4,  27
..\tests\temp_027.csv,  1,  12,  12,  12,  1,  0.001000,  0,  4,  28
..\tests\temp_028.csv,  1,  17,  30,  40,  4,  0.006000,  0,  4,  29
..\tests\temp_029.csv,  1,  29,  480,  1131,  56,  0.196000,  0,  4,  30
..\tests\temp_030.csv,  1,  22,  61,  107,  6,  0.015000,  0,  4,  31
..\tests\temp_031.csv,  1,  11,  11,  11,  1,  0.001000,  0,  4,  32
..\tests\temp_032.csv,  1,  21,  72,  136,  9,  0.018000,  0,  4,  33
..\tests\temp_033.csv,  1,  12,  12,  12,  1,  0.001000,  0,  4,  34
..\tests\temp_034.csv,  1,  12,  16,  20,  2,  0.002000,  0,  4,  35
..\tests\temp_035.csv,  1,  30,  352,  763,  38,  0.158000,  0,  4,  36
..\tests\temp_036.csv,  1,  30,  445,  1120,  57,  0.221000,  0,  4,  37
..\tests\temp_037.csv,  1,  32,  968,  3101,  92,  0.501000,  0,  4,  38
..\tests\temp_038.csv,  1,  11,  14,  17,  2,  0.002000,  0,  4,  39
..\tests\temp_039.csv,  1,  17,  30,  42,  4,  0.005000,  0,  4,  40
..\tests\temp_040.csv,  1,  11,  11,  11,  1,  0.001000,  0,  4,  41
..\tests\temp_041.csv,  1,  30,  405,  913,  48,  0.158000,  0,  4,  42
..\tests\temp_042.csv,  1,  18,  40,  64,  4,  0.007000,  0,  4,  43
..\tests\temp_043.csv,  1,  28,  175,  350,  17,  0.062000,  0,  4,  44
..\tests\temp_044.csv,  1,  23,  94,  182,  10,  0.026000,  0,  4,  45
..\tests\temp_045.csv,  1,  14,  16,  18,  2,  0.002000,  0,  4,  46
..\tests\temp_046.csv,  1,  29,  464,  1001,  61,  0.201000,  0,  4,  47
..\tests\temp_047.csv,  1,  28,  356,  849,  38,  0.140000,  0,  4,  48
..\tests\temp_048.csv,  1,  21,  57,  96,  5,  0.013000,  0,  4,  49
..\tests\temp_049.csv,  1,  11,  14,  17,  2,  0.001000,  0,  4,  50
..\tests\temp_050.csv,  1,  20,  87,  166,  12,  0.020000,  0,  4,  51
..\tests\temp_051.csv,  1,  21,  51,  87,  6,  0.011000,  0,  4,  52
..\tests\temp_052.csv,  1,  14,  19,  24,  3,  0.003000,  0,  4,  53
..\tests\temp_053.csv,  1,  12,  12,  12,  1,  0.002000,  0,  4,  54
..\tests\temp_054.csv,  1,  16,  23,  30,  3,  0.003000,  0,  4,  55
..\tests\temp_055.csv,  1,  23,  72,  125,  9,  0.020000,  0,  4,  56
..\tests\temp_056.csv,  1,  17,  41,  65,  5,  0.007000,  0,  4,  57
..\tests\temp_057.csv,  1,  23,  73,  119,  9,  0.021000,  0,  4,  58
..\tests\temp_058.csv,  1,  11,  11,  11,  1,  0.001000,  0,  4,  59
..\tests\temp_059.csv,  1,  15,  24,  33,  3,  0.003000,  0,  4,  60
..\tests\temp_060.csv,  1,  20,  80,  153,  12,  0.020000,  0,  4,  61
..\tests\temp_061.csv,  1,  25,  165,  339,  18,  0.054000,  0,  4,  62
..\tests\temp_062.csv,  1,  32,  1269,  4383,  136,  0.644000,  0,  4,  63
..\tests\temp_063.csv,  1,  12,  12,  12,  1,  0.001000,  0,  4,  64
..\tests\temp_064.csv,  1,  16,  25,  34,  3,  0.004000,  0,  4,  65
..\tests\temp_065.csv,  1,  11,  11,  11,  1,  0.001000,  0,  4,  66
..\tests\temp_066.csv,  1,  16,  24,  32,  3,  0.003000,  0,  4,  67
..\tests\temp_067.csv,  1,  26,  139,  327,  16,  0.046000,  0,  4,  68
..\tests\temp_068.csv,  1,  16,  26,  36,  4,  0.004000,  0,  4,  69
..\tests\temp_069.csv,  1,  20,  68,  130,  7,  0.016000,  0,  4,  70
..\tests\temp_070.csv,  1,  15,  25,  35,  4,  0.004000,  0,  4,  71
..\tests\temp_071.csv,  1,  32,  491,  1344,  49,  0.221000,  0,  4,  72
..\tests\temp_072.csv,  1,  12,  12,  12,  1,  0.001000,  0,  4,  73
..\tests\temp_073.csv,  1,  21,  63,  108,  10,  0.017000,  0,  4,  74
..\tests\temp_074.csv,  1,  12,  16,  20,  2,  0.002000,  0,  4,  75
..\tests\temp_075.csv,  1,  20,  32,  42,  3,  0.006000,  0,  4,  76
..\tests\temp_076.csv,  1,  14,  19,  24,  3,  0.002000,  0,  4,  77
..\tests\temp_077.csv,  1,  22,  92,  178,  13,  0.026000,  0,  4,  78
..\tests\temp_078.csv,  1,  12,  12,  12,  1,  0.002000,  0,  4,  79
..\tests\temp_079.csv,  1,  15,  22,  29,  3,  0.003000,  0,  4,  80
..\tests\temp_080.csv,  1,  32,  445,  1252,  45,  0.204000,  0,  4,  81
..\tests\temp_081.csv,  1,  29,  354,  904,  39,  0.147000,  0,  4,  82
..\tests\temp_082.csv,  1,  22,  98,  194,  14,  0.030000,  0,  4,  83
..\tests\temp_083.csv,  1,  17,  17,  17,  1,  0.003000,  0,  4,  84
..\tests\temp_084.csv,  1,  23,  76,  123,  8,  0.021000,  0,  4,  85
..\tests\temp_085.csv,  1,  21,  34,  51,  4,  0.008000,  0,  4,  86
..\tests\temp_086.csv,  1,  17,  24,  31,  3,  0.004000,  0,  4,  87
..\tests\temp_087.csv,  1,  27,  143,  308,  15,  0.046000,  0,  4,  88
..\tests\temp_088.csv,  1,  22,  73,  140,  8,  0.018000,  0,  4,  89
..\tests\temp_089.csv,  1,  27,  443,  1176,  60,  0.196000,  0,  4,  90
..\tests\temp_090.csv,  1,  20,  39,  55,  4,  0.009000,  0,  4,  91
..\tests\temp_091.csv,  1,  12,  12,  12,  1,  0.002000,  0,  4,  92
..\tests\temp_092.csv,  1,  21,  73,  127,  11,  0.020000,  0,  4,  93
..\tests\temp_093.csv,  1,  12,  16,  20,  2,  0.002000,  0,  4,  94
..\tests\temp_094.csv,  1,  23,  114,  230,  15,  0.033000,  0,  4,  95
..\tests\temp_095.csv,  1,  32,  621,  1468,  63,  0.297000,  0,  4,  96
..\tests\temp_096.csv,  1,  16,  25,  34,  3,  0.004000,  0,  4,  97
..\tests\temp_097.csv,  1,  20,  61,  114,  8,  0.014000,  0,  4,  98
..\tests\temp_098.csv,  1,  21,  60,  107,  8,  0.014000,  0,  4,  99
..\tests\temp_099.csv,  1,  29,  234,  517,  31,  0.101000,  0,  4,  100
