   Task ID,     Job ID,          Arrival min,          Arrival max,             Cost min,             Cost max,             Deadline,             Priority
0, 0, 0, 0, 68, 85, 800, 1, normal 
0, 1, 0, 0, 21, 27, 800, 1, normal 
0, 2, 0, 0, 52, 66, 800, 1, normal 
0, 3, 0, 0, 34, 43, 800, 1, normal 
0, 4, 0, 0, 78, 98, 800, 1, normal 
0, 5, 0, 0, 74, 93, 800, 1, normal 
0, 6, 0, 0, 69, 87, 800, 1, normal 
0, 7, 0, 0, 65, 82, 800, 1, normal 
0, 8, 0, 0, 60, 75, 800, 1, normal 
0, 9, 0, 0, 75, 94, 800, 1, normal 
0, 10, 0, 0, 47, 59, 800, 1, normal 
0, 11, 0, 0, 60, 76, 800, 1, normal 
0, 12, 0, 0, 27, 34, 800, 1, normal 
0, 13, 0, 0, 1, 2, 800, 1, normal 
0, 14, 0, 0, 30, 38, 800, 1, normal 
0, 15, 0, 0, 6, 8, 800, 1, normal 
