Predecessor TID, Predecessor JID, Successor TID, Successor JID
0, 0, 0, 1
0, 0, 0, 2
0, 0, 0, 13
0, 1, 0, 27
0, 2, 0, 3
0, 2, 0, 7
0, 2, 0, 8
0, 3, 0, 4
0, 3, 0, 5
0, 3, 0, 6
0, 4, 0, 21
0, 5, 0, 21
0, 6, 0, 21
0, 7, 0, 25
0, 8, 0, 11
0, 8, 0, 12
0, 8, 0, 9
0, 8, 0, 10
0, 9, 0, 22
0, 10, 0, 22
0, 11, 0, 22
0, 12, 0, 22
0, 13, 0, 14
0, 13, 0, 18
0, 14, 0, 15
0, 14, 0, 16
0, 14, 0, 17
0, 15, 0, 23
0, 16, 0, 23
0, 17, 0, 23
0, 18, 0, 19
0, 18, 0, 20
0, 19, 0, 24
0, 20, 0, 24
0, 21, 0, 25
0, 22, 0, 25
0, 23, 0, 26
0, 24, 0, 26
0, 25, 0, 27
0, 26, 0, 27
