Predecessor TID, Predecessor JID, Successor TID, Successor JID
0, 0, 0, 1
0, 0, 0, 2
0, 0, 0, 15
0, 0, 0, 24
0, 1, 0, 41
0, 2, 0, 3
0, 2, 0, 6
0, 2, 0, 7
0, 2, 0, 10
0, 3, 0, 4
0, 3, 0, 5
0, 4, 0, 31
0, 5, 0, 31
0, 6, 0, 38
0, 7, 0, 8
0, 7, 0, 9
0, 8, 0, 32
0, 9, 0, 32
0, 10, 0, 11
0, 10, 0, 12
0, 10, 0, 13
0, 10, 0, 14
0, 11, 0, 33
0, 12, 0, 33
0, 13, 0, 33
0, 14, 0, 33
0, 15, 0, 16
0, 15, 0, 21
0, 16, 0, 17
0, 16, 0, 18
0, 16, 0, 19
0, 16, 0, 20
0, 17, 0, 34
0, 18, 0, 34
0, 19, 0, 34
0, 20, 0, 34
0, 21, 0, 22
0, 21, 0, 23
0, 22, 0, 35
0, 23, 0, 35
0, 24, 0, 25
0, 24, 0, 28
0, 25, 0, 26
0, 25, 0, 27
0, 26, 0, 36
0, 27, 0, 36
0, 28, 0, 29
0, 28, 0, 30
0, 29, 0, 37
0, 30, 0, 37
0, 31, 0, 38
0, 32, 0, 38
0, 33, 0, 38
0, 34, 0, 39
0, 35, 0, 39
0, 36, 0, 40
0, 37, 0, 40
0, 38, 0, 41
0, 39, 0, 41
0, 40, 0, 41
