   Task ID,     Job ID,          Arrival min,          Arrival max,             Cost min,             Cost max,             Deadline,             Priority
0, 0, 0, 0, 36, 45, 5500, 1, normal 
0, 1, 0, 0, 42, 53, 5500, 1, normal 
0, 2, 0, 0, 9, 12, 5500, 1, normal 
0, 3, 0, 0, 21, 27, 5500, 1, fork 
0, 4, 0, 0, 44, 55, 5500, 1, normal 
0, 5, 0, 0, 3, 4, 5500, 1, normal 
0, 6, 0, 0, 33, 42, 5500, 1, normal 
0, 7, 0, 0, 14, 18, 5500, 1, fork 
0, 8, 0, 0, 51, 64, 5500, 1, normal 
0, 9, 0, 0, 28, 36, 5500, 1, normal 
0, 10, 0, 0, 61, 77, 5500, 1, normal 
0, 11, 0, 0, 31, 39, 5500, 1, normal 
0, 12, 0, 0, 64, 81, 5500, 1, normal 
0, 13, 0, 0, 35, 44, 5500, 1, normal 
0, 14, 0, 0, 67, 84, 5500, 1, normal 
0, 15, 0, 0, 18, 23, 5500, 1, normal 
0, 16, 0, 0, 67, 84, 5500, 1, normal 
0, 17, 0, 0, 35, 44, 5500, 1, normal 
0, 18, 0, 0, 44, 55, 5500, 1, normal 
0, 19, 0, 0, 70, 88, 5500, 1, normal 
0, 20, 0, 0, 57, 72, 5500, 1, normal 
0, 21, 0, 0, 27, 34, 5500, 1, normal 
0, 22, 0, 0, 51, 64, 5500, 1, normal 
0, 23, 0, 0, 54, 68, 5500, 1, normal 
0, 24, 0, 0, 60, 75, 5500, 1, normal 
0, 25, 0, 0, 10, 13, 5500, 1, normal 
0, 26, 0, 0, 14, 18, 5500, 1, join 
0, 27, 0, 0, 28, 36, 5500, 1, join 
0, 28, 0, 0, 44, 56, 5500, 1, normal 
0, 29, 0, 0, 24, 31, 5500, 1, normal 
0, 30, 0, 0, 70, 88, 5500, 1, normal 
0, 31, 0, 0, 16, 21, 5500, 1, normal 
0, 32, 0, 0, 24, 31, 5500, 1, normal 
0, 33, 0, 0, 55, 69, 5500, 1, normal 
0, 34, 0, 0, 36, 46, 5500, 1, normal 
