   Task ID,     Job ID,          Arrival min,          Arrival max,             Cost min,             Cost max,             Deadline,             Priority
0, 0, 0, 0, 0, 65, 17600, 1760, normal 
0, 1, 0, 0, 0, 42, 17600, 1760, normal 
0, 2, 0, 0, 0, 75, 17600, 1760, normal 
0, 3, 0, 0, 0, 27, 17600, 1760, fork 
0, 4, 0, 0, 0, 35, 17600, 1760, normal 
0, 5, 0, 0, 0, 20, 17600, 1760, normal 
0, 6, 0, 0, 0, 56, 17600, 1760, normal 
0, 7, 0, 0, 0, 91, 17600, 1760, normal 
0, 8, 0, 0, 0, 80, 17600, 1760, normal 
0, 9, 0, 0, 0, 28, 17600, 1760, normal 
0, 10, 0, 0, 0, 25, 17600, 1760, normal 
0, 11, 0, 0, 0, 17, 17600, 1760, normal 
0, 12, 0, 0, 0, 28, 17600, 1760, normal 
0, 13, 0, 0, 0, 53, 17600, 1760, normal 
0, 14, 0, 0, 0, 8, 17600, 1760, normal 
0, 15, 0, 0, 0, 9, 17600, 1760, normal 
0, 16, 0, 0, 0, 3, 17600, 1760, fork 
0, 17, 0, 0, 0, 84, 17600, 1760, fork 
0, 18, 0, 0, 0, 72, 17600, 1760, normal 
0, 19, 0, 0, 0, 74, 17600, 1760, normal 
0, 20, 0, 0, 0, 36, 17600, 1760, normal 
0, 21, 0, 0, 0, 40, 17600, 1760, normal 
0, 22, 0, 0, 0, 87, 17600, 1760, normal 
0, 23, 0, 0, 0, 17, 17600, 1760, join 
0, 24, 0, 0, 0, 22, 17600, 1760, join 
0, 25, 0, 0, 0, 88, 17600, 1760, join 
0, 26, 0, 0, 0, 58, 17600, 1760, normal 
0, 27, 0, 0, 0, 33, 17600, 1760, normal 
