Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 74, 93, 74, 93
0, 1, 118, 149, 118, 149
0, 2, 135, 170, 135, 170
0, 3, 149, 188, 149, 188
0, 4, 228, 287, 228, 287
0, 5, 207, 261, 207, 261
0, 6, 160, 202, 160, 202
0, 7, 132, 166, 132, 166
0, 8, 207, 260, 207, 260
0, 9, 230, 289, 230, 289
0, 10, 213, 271, 213, 271
0, 11, 218, 285, 218, 285
0, 12, 194, 244, 194, 244
0, 13, 207, 261, 207, 261
0, 14, 269, 341, 269, 341
0, 15, 261, 345, 261, 345
0, 16, 279, 363, 279, 363
0, 17, 231, 291, 231, 291
0, 18, 238, 299, 238, 299
0, 19, 344, 445, 344, 445
0, 20, 255, 361, 255, 361
0, 21, 416, 536, 416, 536
0, 22, 460, 592, 460, 592
