Predecessor TID, Predecessor JID, Successor TID, Successor JID
0, 0, 0, 1
0, 0, 0, 2
0, 0, 0, 14
0, 1, 0, 29
0, 2, 0, 3
0, 2, 0, 6
0, 2, 0, 7
0, 2, 0, 10
0, 3, 0, 4
0, 3, 0, 5
0, 4, 0, 22
0, 5, 0, 22
0, 6, 0, 27
0, 7, 0, 8
0, 7, 0, 9
0, 8, 0, 23
0, 9, 0, 23
0, 10, 0, 11
0, 10, 0, 12
0, 10, 0, 13
0, 11, 0, 24
0, 12, 0, 24
0, 13, 0, 24
0, 14, 0, 15
0, 14, 0, 18
0, 15, 0, 16
0, 15, 0, 17
0, 16, 0, 25
0, 17, 0, 25
0, 18, 0, 19
0, 18, 0, 20
0, 18, 0, 21
0, 19, 0, 26
0, 20, 0, 26
0, 21, 0, 26
0, 22, 0, 27
0, 23, 0, 27
0, 24, 0, 27
0, 25, 0, 28
0, 26, 0, 28
0, 27, 0, 29
0, 28, 0, 29
