Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 45, 57, 45, 57
0, 1, 89, 113, 89, 113
0, 2, 81, 103, 81, 103
0, 3, 103, 165, 103, 165
0, 4, 147, 292, 147, 292
0, 5, 159, 307, 159, 307
0, 6, 97, 188, 97, 188
0, 7, 134, 229, 134, 229
0, 8, 184, 355, 184, 355
0, 9, 198, 372, 198, 372
0, 10, 57, 73, 57, 73
0, 11, 82, 105, 82, 105
0, 12, 148, 257, 148, 257
0, 13, 135, 275, 135, 275
0, 14, 100, 127, 100, 127
0, 15, 128, 250, 128, 250
0, 16, 125, 261, 125, 261
0, 17, 113, 267, 113, 267
0, 18, 160, 337, 160, 337
0, 19, 137, 316, 137, 316
0, 20, 158, 367, 158, 367
0, 21, 217, 447, 217, 447
0, 22, 209, 432, 209, 432
0, 23, 201, 423, 201, 423
0, 24, 266, 479, 266, 479
0, 25, 149, 393, 149, 393
0, 26, 211, 452, 211, 452
0, 27, 258, 499, 258, 499
0, 28, 296, 517, 296, 517
0, 29, 273, 518, 273, 518
0, 30, 348, 584, 348, 584
