Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 27, 34, 27, 34
0, 1, 47, 59, 47, 59
0, 2, 86, 108, 86, 108
0, 3, 136, 171, 136, 171
0, 4, 182, 229, 182, 229
0, 5, 159, 200, 159, 200
0, 6, 157, 211, 157, 211
0, 7, 37, 47, 37, 47
0, 8, 46, 59, 46, 59
0, 9, 57, 73, 57, 73
0, 10, 111, 141, 111, 141
0, 11, 97, 122, 97, 122
0, 12, 98, 125, 98, 125
0, 13, 86, 109, 86, 109
0, 14, 92, 117, 92, 117
0, 15, 115, 146, 115, 146
0, 16, 163, 214, 163, 214
0, 17, 250, 314, 250, 314
0, 18, 167, 211, 167, 211
0, 19, 175, 230, 175, 230
0, 20, 0, 9223372036854775807, 0, 9223372036854775807
0, 21, 245, 316, 245, 316
0, 22, 0, 9223372036854775807, 0, 9223372036854775807
