   Task ID,     Job ID,          Arrival min,          Arrival max,             Cost min,             Cost max,             Deadline,             Priority
1, 1, 0, 0, 1, 1, 100, 10, normal
1, 2, 0, 0, 1, 5, 100, 20, fork
1, 3, 0, 0, 1, 5, 100, 30, fork
1, 4, 0, 0, 1, 5, 100, 40, normal
1, 5, 0, 0, 1, 4, 100, 50, normal
1, 6, 0, 0, 1, 8, 100, 60, normal
1, 7, 0, 0, 1, 5, 100, 70, normal
1, 8, 0, 0, 2, 3, 100, 80, join
1, 9, 0, 0, 1, 4, 100, 90, join
1, 10, 0, 0, 4, 5, 100, 100, normal
1, 11, 0, 0, 1, 1, 100, 110, normal
2, 1, 2, 4, 3, 5, 100, 210, fork
2, 2, 0, 0, 1, 7, 100, 220, normal
2, 3, 0, 0, 2, 10, 100, 230, normal
2, 4, 0, 0, 1, 6, 100, 240, normal
2, 5, 0, 0, 4, 8, 100, 250, join
